"Subject","Day","LGRD"
8,2,0.00833333333333333
8,3,0.05
8,4,-0.075
8,5,0.133333333333333
8,6,-0.0333333333333334
8,7,-0.158333333333333
8,8,0.00833333333333333
8,9,0.00833333333333333
8,10,0.133333333333333
8,11,0.175
8,12,0.00833333333333333
8,13,0.216666666666667
8,14,0.341666666666667
8,15,0.133333333333333
8,16,0.133333333333333
8,17,0.05
8,18,0.258333333333333
8,19,0.0916666666666667
8,20,0.216666666666667
8,21,0.3
8,22,0.258333333333333
8,23,0.341666666666667
8,24,0.341666666666667
8,25,0.175
8,26,0.0916666666666667
8,27,0.258333333333333
8,28,0.00833333333333333
8,29,0.425
8,30,0.216666666666667
8,31,0.0916666666666667
8,32,0.466666666666667
8,33,0.00833333333333333
8,34,0.175
8,35,0.466666666666667
8,36,0.341666666666667
8,37,0.341666666666667
8,38,0.216666666666667
8,39,0.258333333333333
8,40,0.466666666666667
8,41,0.508333333333333
8,42,0.508333333333333
8,43,0.383333333333333
8,44,0.258333333333333
8,45,-0.0333333333333334
8,46,0.216666666666667
8,47,0.3
8,48,0.00833333333333333
8,49,0.383333333333333
8,50,0.175
8,51,0.258333333333333
8,52,-0.075
8,53,-0.0333333333333334
8,54,0.00833333333333333
8,55,0.591666666666667
8,56,0.216666666666667
8,57,0.3
8,58,0.425
8,59,0.216666666666667
8,60,0.258333333333333
8,61,0.133333333333333
8,62,0.508333333333333
8,63,0.133333333333333
8,64,0.466666666666667
8,65,0.425
8,66,0.05
8,67,0.341666666666667
8,68,0.341666666666667
8,69,0.341666666666667
8,70,0.383333333333333
9,1,0.05
9,2,0.133333333333333
9,3,0.05
9,4,0.0916666666666667
9,5,0.216666666666667
9,6,0.383333333333333
9,7,-0.0333333333333334
9,8,0.0916666666666667
9,9,0.175
9,10,0.00833333333333333
9,11,0.0916666666666667
9,12,0.0916666666666667
9,13,0.05
9,14,0.341666666666667
9,15,0.466666666666667
9,16,0.00833333333333333
9,17,0.216666666666667
9,18,0.341666666666667
9,19,0.175
9,20,0.383333333333333
9,21,-0.0333333333333334
9,22,0.591666666666667
9,23,0.383333333333333
9,24,0.175
9,25,0.383333333333333
9,26,0.55
9,27,0.175
9,28,0.341666666666667
9,29,0.258333333333333
9,30,0.05
9,31,0.216666666666667
9,32,-0.0333333333333334
